Disease,Description,Symptoms,Precautions,Medicines,Dosage,Emergency_Signs,Lifestyle_Tips
Disease_630,A simulated disease profile for Disease_630 with common medical symptoms and treatments.,"Rash,Fatigue,Chest pain,Headache,Cough","Vaccination,Use protective gear,Drink plenty of water","Prednisone,Cetirizine,Ibuprofen","10ml thrice a day,100mg once daily","High-grade fever,Uncontrolled bleeding","Hydration,Limit alcohol intake,Avoid smoking"
Disease_631,A simulated disease profile for Disease_631 with common medical symptoms and treatments.,"Headache,Dizziness,Joint pain,Blurred vision,Loss of appetite","Avoid contact with infected individuals,Physical distancing,Eat a balanced diet","Paracetamol,Prednisone,Omeprazole","250mg every 6 hours,200mg every 8 hours","Severe chest pain,Difficulty breathing","Limit alcohol intake,Daily exercise,Regular checkups"
Disease_632,A simulated disease profile for Disease_632 with common medical symptoms and treatments.,"Headache,Dizziness,Nausea,Loss of appetite,Muscle pain","Avoid spicy food,Avoid contact with infected individuals,Eat a balanced diet","Cetirizine,Amoxicillin,Metformin","200mg every 8 hours,100mg once daily","Severe dehydration,Loss of consciousness","Regular checkups,Daily exercise,Limit alcohol intake"
Disease_633,A simulated disease profile for Disease_633 with common medical symptoms and treatments.,"Headache,Joint pain,Blurred vision,Muscle pain,Shortness of breath","Rest adequately,Maintain hygiene,Vaccination","Paracetamol,Ibuprofen,Omeprazole","250mg every 6 hours,10ml thrice a day","High-grade fever,Uncontrolled bleeding","Adequate sleep,Avoid smoking,Regular checkups"
Disease_634,A simulated disease profile for Disease_634 with common medical symptoms and treatments.,"Vomiting,Joint pain,Sore throat,Muscle pain,Shortness of breath","Physical distancing,Regular hand washing,Eat a balanced diet","Amoxicillin,Ibuprofen,Prednisone","10ml thrice a day,500mg twice a day","Difficulty breathing,Uncontrolled bleeding","Limit alcohol intake,Stress management,Hydration"
Disease_635,A simulated disease profile for Disease_635 with common medical symptoms and treatments.,"Sore throat,Cough,Dizziness,Muscle pain,Chest pain","Regular hand washing,Vaccination,Rest adequately","Amoxicillin,Loratadine,Paracetamol","200mg every 8 hours,250mg every 6 hours","Difficulty breathing,Uncontrolled bleeding","Stress management,Daily exercise,Regular checkups"
Disease_636,A simulated disease profile for Disease_636 with common medical symptoms and treatments.,"Cough,Blurred vision,Vomiting,Nausea,Chest pain","Avoid contact with infected individuals,Physical distancing,Rest adequately","Prednisone,Cetirizine,Azithromycin","500mg twice a day,250mg every 6 hours","Severe chest pain,Uncontrolled bleeding","Hydration,Adequate sleep,Low-fat diet"
Disease_637,A simulated disease profile for Disease_637 with common medical symptoms and treatments.,"Nausea,Sore throat,Shortness of breath,Fatigue,Dizziness","Drink plenty of water,Maintain hygiene,Use protective gear","Aspirin,Cetirizine,Prednisone","1 tablet after meals,500mg twice a day","Uncontrolled bleeding,Severe dehydration","Stress management,Limit alcohol intake,Avoid smoking"
Disease_638,A simulated disease profile for Disease_638 with common medical symptoms and treatments.,"Fever,Loss of appetite,Muscle pain,Shortness of breath,Headache","Regular hand washing,Eat a balanced diet,Avoid contact with infected individuals","Loratadine,Paracetamol,Metformin","100mg once daily,500mg twice a day","Loss of consciousness,Difficulty breathing","Regular checkups,Hydration,Adequate sleep"
Disease_639,A simulated disease profile for Disease_639 with common medical symptoms and treatments.,"Muscle pain,Fatigue,Sore throat,Headache,Nausea","Regular hand washing,Vaccination,Rest adequately","Omeprazole,Prednisone,Paracetamol","100mg once daily,200mg every 8 hours","High-grade fever,Severe dehydration","Hydration,Limit alcohol intake,Low-fat diet"
Disease_640,A simulated disease profile for Disease_640 with common medical symptoms and treatments.,"Rash,Cough,Sore throat,Muscle pain,Nausea","Use protective gear,Avoid spicy food,Physical distancing","Azithromycin,Paracetamol,Cetirizine","250mg every 6 hours,100mg once daily","High-grade fever,Severe dehydration","Avoid smoking,Stress management,Daily exercise"
Disease_641,A simulated disease profile for Disease_641 with common medical symptoms and treatments.,"Chest pain,Headache,Cough,Fever,Fatigue","Physical distancing,Eat a balanced diet,Rest adequately","Prednisone,Omeprazole,Azithromycin","200mg every 8 hours,500mg twice a day","Uncontrolled bleeding,Loss of consciousness","Limit alcohol intake,Regular checkups,Low-fat diet"
Disease_642,A simulated disease profile for Disease_642 with common medical symptoms and treatments.,"Vomiting,Headache,Loss of appetite,Chest pain,Fatigue","Avoid spicy food,Physical distancing,Eat a balanced diet","Azithromycin,Omeprazole,Paracetamol","1 tablet after meals,10ml thrice a day","Uncontrolled bleeding,High-grade fever","Regular checkups,Stress management,Hydration"
Disease_643,A simulated disease profile for Disease_643 with common medical symptoms and treatments.,"Dizziness,Cough,Vomiting,Nausea,Muscle pain","Eat a balanced diet,Use protective gear,Avoid spicy food","Metformin,Cetirizine,Azithromycin","250mg every 6 hours,1 tablet after meals","Severe dehydration,Difficulty breathing","Adequate sleep,Stress management,Daily exercise"
Disease_644,A simulated disease profile for Disease_644 with common medical symptoms and treatments.,"Cough,Joint pain,Rash,Muscle pain,Vomiting","Regular hand washing,Avoid spicy food,Physical distancing","Ibuprofen,Prednisone,Cetirizine","10ml thrice a day,500mg twice a day","Difficulty breathing,Loss of consciousness","Adequate sleep,Daily exercise,Avoid smoking"
Disease_645,A simulated disease profile for Disease_645 with common medical symptoms and treatments.,"Chest pain,Loss of appetite,Rash,Sore throat,Shortness of breath","Avoid spicy food,Physical distancing,Use protective gear","Prednisone,Azithromycin,Paracetamol","250mg every 6 hours,500mg twice a day","Difficulty breathing,Severe dehydration","Regular checkups,Avoid smoking,Limit alcohol intake"
Disease_646,A simulated disease profile for Disease_646 with common medical symptoms and treatments.,"Chest pain,Shortness of breath,Blurred vision,Dizziness,Cough","Vaccination,Eat a balanced diet,Maintain hygiene","Loratadine,Paracetamol,Omeprazole","100mg once daily,1 tablet after meals","Severe dehydration,Loss of consciousness","Avoid smoking,Low-fat diet,Adequate sleep"
Disease_647,A simulated disease profile for Disease_647 with common medical symptoms and treatments.,"Chest pain,Dizziness,Fever,Fatigue,Rash","Avoid contact with infected individuals,Rest adequately,Vaccination","Prednisone,Paracetamol,Omeprazole","1 tablet after meals,200mg every 8 hours","Uncontrolled bleeding,High-grade fever","Avoid smoking,Low-fat diet,Regular checkups"
Disease_648,A simulated disease profile for Disease_648 with common medical symptoms and treatments.,"Joint pain,Dizziness,Rash,Loss of appetite,Muscle pain","Use protective gear,Avoid contact with infected individuals,Vaccination","Prednisone,Ibuprofen,Aspirin","200mg every 8 hours,100mg once daily","Difficulty breathing,Loss of consciousness","Low-fat diet,Stress management,Avoid smoking"
Disease_649,A simulated disease profile for Disease_649 with common medical symptoms and treatments.,"Loss of appetite,Sore throat,Headache,Nausea,Cough","Eat a balanced diet,Drink plenty of water,Use protective gear","Azithromycin,Omeprazole,Paracetamol","250mg every 6 hours,500mg twice a day","Severe dehydration,High-grade fever","Regular checkups,Stress management,Avoid smoking"
Disease_650,A simulated disease profile for Disease_650 with common medical symptoms and treatments.,"Sore throat,Fever,Blurred vision,Rash,Shortness of breath","Avoid contact with infected individuals,Eat a balanced diet,Use protective gear","Prednisone,Azithromycin,Omeprazole","1 tablet after meals,10ml thrice a day","Loss of consciousness,Severe chest pain","Daily exercise,Low-fat diet,Limit alcohol intake"
Disease_651,A simulated disease profile for Disease_651 with common medical symptoms and treatments.,"Loss of appetite,Vomiting,Nausea,Fever,Dizziness","Physical distancing,Avoid spicy food,Use protective gear","Azithromycin,Prednisone,Metformin","1 tablet after meals,10ml thrice a day","Severe dehydration,Difficulty breathing","Regular checkups,Adequate sleep,Low-fat diet"
Disease_652,A simulated disease profile for Disease_652 with common medical symptoms and treatments.,"Loss of appetite,Dizziness,Headache,Muscle pain,Chest pain","Maintain hygiene,Rest adequately,Use protective gear","Ibuprofen,Amoxicillin,Cetirizine","500mg twice a day,10ml thrice a day","Severe chest pain,Loss of consciousness","Regular checkups,Limit alcohol intake,Low-fat diet"
Disease_653,A simulated disease profile for Disease_653 with common medical symptoms and treatments.,"Muscle pain,Fatigue,Vomiting,Blurred vision,Loss of appetite","Rest adequately,Vaccination,Drink plenty of water","Ibuprofen,Cetirizine,Paracetamol","200mg every 8 hours,1 tablet after meals","Uncontrolled bleeding,Loss of consciousness","Regular checkups,Low-fat diet,Stress management"
Disease_654,A simulated disease profile for Disease_654 with common medical symptoms and treatments.,"Sore throat,Nausea,Loss of appetite,Vomiting,Joint pain","Regular hand washing,Use protective gear,Rest adequately","Paracetamol,Loratadine,Amoxicillin","1 tablet after meals,500mg twice a day","Difficulty breathing,Severe chest pain","Stress management,Daily exercise,Limit alcohol intake"
Disease_655,A simulated disease profile for Disease_655 with common medical symptoms and treatments.,"Shortness of breath,Loss of appetite,Headache,Joint pain,Fatigue","Maintain hygiene,Avoid contact with infected individuals,Drink plenty of water","Metformin,Amoxicillin,Loratadine","200mg every 8 hours,10ml thrice a day","Severe dehydration,Severe chest pain","Hydration,Avoid smoking,Limit alcohol intake"
Disease_656,A simulated disease profile for Disease_656 with common medical symptoms and treatments.,"Rash,Shortness of breath,Headache,Sore throat,Dizziness","Regular hand washing,Avoid spicy food,Use protective gear","Paracetamol,Ibuprofen,Cetirizine","1 tablet after meals,100mg once daily","Severe dehydration,Severe chest pain","Limit alcohol intake,Hydration,Avoid smoking"
Disease_657,A simulated disease profile for Disease_657 with common medical symptoms and treatments.,"Joint pain,Vomiting,Dizziness,Cough,Headache","Eat a balanced diet,Drink plenty of water,Rest adequately","Azithromycin,Ibuprofen,Aspirin","10ml thrice a day,500mg twice a day","Severe dehydration,Uncontrolled bleeding","Adequate sleep,Avoid smoking,Low-fat diet"
Disease_658,A simulated disease profile for Disease_658 with common medical symptoms and treatments.,"Shortness of breath,Vomiting,Chest pain,Blurred vision,Loss of appetite","Regular hand washing,Avoid contact with infected individuals,Rest adequately","Cetirizine,Prednisone,Paracetamol","250mg every 6 hours,100mg once daily","High-grade fever,Loss of consciousness","Regular checkups,Adequate sleep,Hydration"
Disease_659,A simulated disease profile for Disease_659 with common medical symptoms and treatments.,"Blurred vision,Shortness of breath,Cough,Nausea,Vomiting","Physical distancing,Drink plenty of water,Avoid contact with infected individuals","Prednisone,Aspirin,Ibuprofen","1 tablet after meals,10ml thrice a day","Difficulty breathing,Uncontrolled bleeding","Daily exercise,Regular checkups,Stress management"
Disease_660,A simulated disease profile for Disease_660 with common medical symptoms and treatments.,"Fever,Shortness of breath,Muscle pain,Vomiting,Rash","Use protective gear,Eat a balanced diet,Avoid spicy food","Paracetamol,Prednisone,Aspirin","200mg every 8 hours,100mg once daily","Uncontrolled bleeding,Loss of consciousness","Regular checkups,Adequate sleep,Hydration"
Disease_661,A simulated disease profile for Disease_661 with common medical symptoms and treatments.,"Sore throat,Rash,Fever,Vomiting,Chest pain","Maintain hygiene,Avoid contact with infected individuals,Avoid spicy food","Paracetamol,Aspirin,Metformin","500mg twice a day,250mg every 6 hours","High-grade fever,Difficulty breathing","Adequate sleep,Hydration,Regular checkups"
Disease_662,A simulated disease profile for Disease_662 with common medical symptoms and treatments.,"Loss of appetite,Muscle pain,Shortness of breath,Vomiting,Dizziness","Maintain hygiene,Use protective gear,Regular hand washing","Paracetamol,Ibuprofen,Aspirin","10ml thrice a day,1 tablet after meals","Severe chest pain,Uncontrolled bleeding","Daily exercise,Avoid smoking,Stress management"
Disease_663,A simulated disease profile for Disease_663 with common medical symptoms and treatments.,"Blurred vision,Chest pain,Muscle pain,Headache,Rash","Avoid spicy food,Regular hand washing,Maintain hygiene","Ibuprofen,Aspirin,Prednisone","1 tablet after meals,100mg once daily","Loss of consciousness,Severe chest pain","Low-fat diet,Regular checkups,Stress management"
Disease_664,A simulated disease profile for Disease_664 with common medical symptoms and treatments.,"Loss of appetite,Sore throat,Fatigue,Dizziness,Nausea","Avoid contact with infected individuals,Vaccination,Use protective gear","Cetirizine,Azithromycin,Aspirin","200mg every 8 hours,10ml thrice a day","Severe dehydration,Difficulty breathing","Daily exercise,Stress management,Limit alcohol intake"
Disease_665,A simulated disease profile for Disease_665 with common medical symptoms and treatments.,"Dizziness,Joint pain,Fatigue,Headache,Fever","Vaccination,Regular hand washing,Drink plenty of water","Aspirin,Ibuprofen,Paracetamol","1 tablet after meals,10ml thrice a day","Difficulty breathing,Severe dehydration","Avoid smoking,Regular checkups,Stress management"
